qid,vid,query,pred_start,pred_end,conf,iou,category
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,106.0,148.0,0.9979,0.6176470588235294,fg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,0.0,76.0,0.9903,0.0,fg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,2.0,114.0,0.0008,0.21621621621621623,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,86.0,98.0,0.0004,0.17647058823529413,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,34.0,84.0,0.0001,0.017241379310344827,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,90.0,108.0,0.0001,0.2647058823529412,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,56.0,90.0,0.0001,0.0851063829787234,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,140.0,150.0,0.0001,0.14705882352941177,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,38.0,56.0,0.0,0.0,bg
2579,NUsG9BgSes0_210.0_360.0,A girl and her mother cooked while talking with each other on facetime.,4.0,26.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,0.0,150.0,0.9919,0.12,fg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,104.0,146.0,0.0492,0.42857142857142855,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,6.0,30.0,0.0001,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,88.0,98.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,8.0,30.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,88.0,98.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,70.0,88.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,26.0,54.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,138.0,148.0,0.0,0.0,bg
5071,NUsG9BgSes0_60.0_210.0,A woman sitting in front of a desk wearing headphones and using her laptop,34.0,64.0,0.0,0.0,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,0.0,150.0,0.9956,0.36,fg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,110.0,148.0,0.0145,0.7037037037037037,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,6.0,22.0,0.0005,0.0,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,58.0,80.0,0.0002,0.75,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,8.0,26.0,0.0001,0.0,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,92.0,102.0,0.0001,0.10344827586206896,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,70.0,128.0,0.0001,0.4,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,88.0,100.0,0.0001,0.06451612903225806,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,46.0,58.0,0.0,0.06666666666666667,bg
5342,NUsG9BgSes0_360.0_510.0,An Asian woman wearing a Boston t-shirt is in her home talking.,140.0,150.0,0.0,0.18518518518518517,bg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,136.0,140.0,0.9733,0.0,fg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,146.0,150.0,0.9522,0.0,fg
8636,NUsG9BgSes0_660.0_810.0,Woman holds up a green bottle.,124.0,130.0,0.9296,0.0,fg
